question_id,question,annotator1_answer,annotator2_answer,f1_score
15,"How do students find part-time or on-campus jobs to help with living expenses, and which offices hire them?","Part-time or on-campus jobs can be found in the library system, labs, dining, or as departmental assistants.","Students can work in dining, libraries, or departments for part-time income.",0.35714285714285715
16,"Are there meal-plan-friendly dining options near UMSI buildings, or do most students bring lunch?","There are many on-campus dining halls, plus local restaurants. Some classes are near Panera or cozy coffee shops.",Dining halls and nearby cafes serve students; some eat near Panera or North Quad.,0.375
17,Does UMSI coordinate any off-campus retreats or leadership workshops specifically for building class cohesion?,"Occasionally, UMSI organizes off-site leadership retreats or orientation experiences.",UMSI occasionally runs off-campus retreats for bonding and leadership.,0.4444444444444444
18,In what ways do faculty and staff try to maintain approachability and open communication with students?,"Faculty maintain open office hours, Q&A sessions, and encourage email/Canvas communication for a supportive environment.","Faculty encourage communication via office hours, Canvas, and email.",0.5
19,Are there recommended strategies to achieve work-life balance while juggling heavy course loads at UMSI?,"Students should use time-management tools, exercise, and campus wellness resources to keep a balanced schedule.",Time management and wellness tools help students stay balanced.,0.4166666666666667
20,Are official transcripts requested via the UMSI Registrar or through the central U-M Registrar's Office?,"Official transcripts are requested via U-M's central Wolverine Access portal, not the UMSI registrar.","Transcripts are ordered through Wolverine Access, not UMSI directly.",0.5217391304347826
21,How does UMSI enforce the policy that all required courses must be completed with a grade of C- or better?,"A grade of C- or higher meets requirement; below that, you must retake or petition for an alternative.",You need at least a C- in required courses; retake or petition if below.,0.43750000000000006
22,What is the typical timeframe for final grades to be posted each semester?,"Final grades usually post within a week or two after exams, unless the instructor extends deadlines.","Grades post 1–2 weeks after finals, unless instructors delay.",0.32
23,Are there data retention policies at UMSI regarding submission of course assignments?,UMSI or instructors typically keep assignment records for at least a term; you can ask if you need references.,Assignments are retained at least one term; ask faculty if needed.,0.3333333333333333
24,"Can students be dismissed from the program for failing to make adequate progress, and how is that determined?","Students who do not meet academic or professional standards risk dismissal, following a formal review process.",Students may be dismissed after a formal review if progress is insufficient.,0.28571428571428575
25,How does the grievance process work if a student has a complaint about a faculty member's conduct?,"If you have a grievance about faculty conduct, you can file through the official UMSI or UM procedures.",Complaints about faculty can be filed through UMSI or university channels.,0.41379310344827586
26,What resources exist if a student feels they've been discriminated against or harassed in a UMSI context?,OIE (Office for Institutional Equity) addresses discrimination or harassment; UMSI supports that process.,OIE handles reports of bias or harassment; UMSI supports affected students.,0.41666666666666663
27,"When does a student become subject to academic probation, and how can they return to good standing?",Probation occurs if you don't meet GPA or progression standards; you must create a plan with advisors.,Probation starts if GPA drops or progress stalls; a plan is required to recover.,0.3870967741935484
28,"Does the school track professional behavior or ""professional integrity"" outside of academic coursework?","Non-academic misconduct, like violating professional codes on internship sites, can also trigger discipline.",Unprofessional conduct can also affect academic standing.,0.2
29,Are there any differences in policies for face-to-face instruction vs. short courses or half-semester courses?,"Short courses follow the same policy regarding contact hours, grading, and attendance.",Short and half-term courses follow the same academic standards.,0.5714285714285715
30,How does withdrawal from one SI course impact the rest of a student's schedule or progression?,"Withdrawing from one course won't remove you from others, but watch for credit minimums if you're on financial aid.","Dropping a course doesn’t cancel others, but beware of financial aid rules.",0.3225806451612903
31,Does UMSI require immunizations or other health documentation for MHI students working in clinical settings?,MHI students placed in clinical contexts may need immunizations or background checks.,MHI students may need health checks for clinical work.,0.5714285714285715
32,What is the official procedure for requesting or implementing an academic adjustment for a documented disability?,Disability accommodations start with SSD certification; UMSI encourages early requests to coordinate seamlessly.,"For disability support, register with SSD early to coordinate accommodations.",0.608695652173913
33,Can students petition for an exemption to the continuous enrollment requirement if personal circumstances arise?,"With valid reasons, you can request an exemption from continuous enrollment, but it's not automatic.","You can request a break in enrollment for valid reasons, but approval isn’t guaranteed.",0.4827586206896552
34,Are there special rules for how many pass/fail or S/U credits can count toward the 48 credits needed for the MSI?,"Typically only a limited number of pass/fail credits may apply toward the 48-credit MSI total, so confirm with an advisor.",Only a limited number of pass/fail credits count toward MSI requirements.,0.5806451612903226
35,Are there special academic tracks or course groupings for students wanting to focus on library science?,Library science-related interests can be pursued with SI 647 or other LIS electives under the MSI.,Library science can be explored through electives like SI 647.,0.4615384615384615
36,Is there a formal process to request an exception or petition for a course substitution if a requirement is nearly met?,Students can petition the UMSI academic committee for a course substitution if it meets relevant learning objectives.,Students can petition for course subs if goals match a requirement.,0.5
37,Do certain specialized courses have enforced prerequisites that students cannot bypass without a waiver?,"Enforced prerequisites are strict. If you lack them, you must secure a waiver or complete them first.",You can’t skip enforced prerequisites without a waiver.,0.4
38,What is the difference between an enforced prerequisite and an advisory prerequisite in the UMSI course catalog?,Advisory prerequisites are recommended but not strictly enforced; you can enroll if you feel prepared.,"Advisory prereqs are optional, but recommended for success.",0.3478260869565218
39,"Can MSI students switch their declared specialization or pathway mid-program, and how does that shift their course plan?","Yes, changing your MSI pathway means adjusting your course plan with an advisor to ensure you meet all new prerequisites.",MSI students can switch pathways but must revise their course plan.,0.19354838709677416
40,"Do MHI students use the same registration system as MSI students, or are there distinct steps to follow?","MHI and MSI registration processes are quite similar, though MHI might have extra required health courses.",MSI and MHI registration are similar; MHI may add health-related steps.,0.5185185185185185
41,Are there recommended times to schedule an appointment with an advisor to avoid busy registration periods?,Registration periods can be busy; it helps to see an advisor earlier in the term or mid-semester.,Meet advisors mid-term to avoid registration rush.,0.16666666666666666
42,"How can students verify that an external course (e.g., from a different university) meets a BSI or MSI requirement?",You must submit syllabi or official descriptions of external courses for evaluation if seeking UMSI credit.,"To count outside courses, submit syllabi for review.",0.3333333333333333
43,What resources does the school provide for students struggling to meet academic requirements or keep up with the workload?,"If you struggle academically, UMSI's Academic Success team offers coaching, tutoring, and academic skills workshops.",Academic coaching and tutoring are available through UMSI.,0.3478260869565218
44,How do skill-based waivers for certain programming courses actually appear on the transcript?,"Skill-based waivers appear on your record as a satisfied prerequisite, but no credit is awarded.",Skill-based waivers fulfill prereqs but don’t give credit.,0.3478260869565218
45,"Are there condensed (7-week) courses offered in the MSI or MHI programs, and how do those fit into a full schedule?","7-week or half-semester courses do exist, especially for some SI 504 or 505 ""mini"" courses.","7-week ""mini"" courses exist, especially for intro-level tech skills.",0.5
46,What guidance is given to BSI students about balancing major requirements vs. general liberal arts credits?,"BSI students must balance SI core, advanced electives, and general ed or distribution requirements for their bachelor's degree.","BSI students must balance major, elective, and general ed credits.",0.5
47,How do graduate students track the 48 total credit hours needed for the MSI if they're also completing non-SI courses?,MSI students can track the total 48 credits by referencing their online audit; up to 9 can be outside SI if approved.,MSI students can count up to 9 non-SI credits toward their 48-credit total.,0.5142857142857142
48,"If a student fails a required course, how do they retake it or make alternate arrangements to fulfill that requirement?","Retaking a failed required course is mandatory; the new grade replaces the old for that requirement, but both remain on your transcript.",Failed required courses must be retaken; both grades show on the transcript.,0.3529411764705882
49,Does UMSI have dedicated staff to assist students with external or third-party course approvals?,The UMSI registrar helps handle official evaluations of external or transfer credit.,The UMSI registrar handles official transfer and credit evaluations.,0.6666666666666666
50,Are there any course planning worksheets or checklists specifically designed for each UMSI pathway?,"Yes, there are BSI and MSI planning worksheets in the handbooks and Canvas resources.",Planning tools are available in UMSI handbooks and Canvas.,0.5217391304347826
51,"Is it possible to take online MADS courses as an MSI student, and if so, how does that count toward the residential program?","MSI students generally cannot take MADS courses directly for credit, as MADS is a separate online program. Exceptions would require special approval.",MADS courses don’t count for MSI credit unless specially approved.,0.3125
52,"Are there best practices or ethical guidelines for negotiating an internship offer, especially regarding pay rates?","The CDO advises ethical approaches: be honest, communicate promptly, and avoid reneging on accepted offers.","When negotiating offers, be honest, timely, and professional.",0.3478260869565218
53,"How can students find remote internships, and are those treated the same for credit purposes?",Remote internships are allowed if supervision and deliverables meet program guidelines.,Remote internships are fine if well-supervised and goal-aligned.,0.5263157894736842
54,"How does the CDO help students with career planning beyond the internship, such as full-time job placement?","Beyond internships, the CDO offers full-time job fairs, mock interviews, portfolio reviews, and career coaching.","The CDO helps with job searches, mock interviews, and career strategy.",0.5384615384615385
55,What is the difference between SI 681 and SI 690 for graduate internship courses?,"SI 681 is typically 1–3 credits; SI 690 can be 2–4 credits, with different reflection or assignment structures.",SI 681 and SI 690 differ in credit and deliverables; check syllabi.,0.26666666666666666
56,"Do students have to complete the internship at a specific stage in their program, or is it flexible?","Usually, students do the internship in summer after the first or second year (for MSI) or junior/senior summer (for BSI).",Internships usually happen after year one for MSI or junior year for BSI.,0.4848484848484849
57,Are there local Ann Arbor-based companies that regularly offer internships to UMSI students?,Ann Arbor-based positions range from startups to big tech labs; many also find internships in Detroit or beyond.,Many UMSI students intern locally or in the Detroit tech scene.,0.3448275862068966
58,Does the UMSI CDO host career fairs or specialized recruiting events for information-focused employers?,"CDO organizes an annual career fair, plus smaller recruiting sessions for major employers.",UMSI hosts both large career fairs and smaller employer events.,0.17391304347826086
59,"Is it possible to register a continuing, long-term internship for credit in multiple semesters?","Continuing the same internship for multiple semesters is possible, but each term must show new learning objectives.",Long-term internships can span terms if new learning is shown.,0.22222222222222224
60,What are the consequences if an internship is terminated early or if the student can't complete the required hours?,"If the internship ends early, speak with the CDO promptly to salvage credit or transition to an alternative arrangement.","If an internship ends early, the CDO can help with recovery options.",0.5161290322580646
61,Can students earn academic credit for volunteer or research-based roles outside of the typical corporate internship?,Nonprofit or research roles can count if they meet academic standards for SI internship courses.,Volunteer or research roles can count if they meet academic standards.,0.7692307692307692
