Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Spring 2025","Regular Academic Session","Dentistry","50066","Oral Biology (ORALBIOL) Open Sections"," 855","101","Conscious Sedation","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  60","  60","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","50067","Oral Biology (ORALBIOL) Open Sections"," 856","101","Clin Consc Sedation","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  15","  15","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","50068","Oral Biology (ORALBIOL) Open Sections"," 858","101","Immunologic Topics","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  50","  50","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","50069","Oral Biology (ORALBIOL) Open Sections"," 859","101","Seminar in Oral Bio","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  10","  10","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52951","Oral Health Sciences (ORALHEAL) Open Sections"," 706","001","Head & Neck Anatomy","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Karl","  25","  25","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","50073","Oral Health Sciences (ORALHEAL) Open Sections"," 851","101","Special Topics Sem","LEC","PI ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","52336","Orthodontics (ORTHO) Open Sections"," 760","101","Clinical Orthodon","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Aliaga del Castillo","  25","  18","N","1.00-5.00",
"Spring 2025","Regular Academic Session","Dentistry","54346","Orthodontics (ORTHO) Open Sections"," 766","004","Research-Thesis","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Hatch","  25","  18","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Dentistry","52295","Orthodontics (ORTHO) Open Sections"," 775","101","Clin Ped Ortho","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Arjunan","  25","  24","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","52296","Orthodontics (ORTHO) Open Sections"," 778","101","Mg Chl Craniofac","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Yatabe Ioshida, Boynton","  30","  29","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","52337","Orthodontics (ORTHO) Open Sections"," 781","101","Treatment in Prog","LEC","P  ","","","","TH","","","","05/06/2025","06/20/2025","8-9AM","ARR","Kim-Berman","  25","  18","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52294","Pediatric Dentistry (PEDDENT) Open Sections"," 591","101","Clinical Ped Dent","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Boynton","  20","  19","N","1.00-5.00",
"Spring 2025","Regular Academic Session","Dentistry","51099","Pediatric Dentistry (PEDDENT) Open Sections"," 596","101","Adv Ped Dent CL Prb","SEM","P  ","M","","W","","","","","05/06/2025","06/20/2025","5-7PM","2075I KELL","Boynton","  12","  11","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","50081","Pediatric Dentistry (PEDDENT) Open Sections"," 599","101","Pd Anes Rotatn","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Vergotine","  12","  11","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","50082","Periodontics (PERIODON) Open Sections"," 780","101","Periodontic Clinic","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  12","  12","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Dentistry","50083","Periodontics (PERIODON) Open Sections"," 782","101","Sem in Periodontics","SEM","P  ","","","","","","",""," "," ","ARR","ARR","","  12","  12","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52172","Periodontics (PERIODON) Open Sections"," 786","101","Periodontal Therapy","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  25","  25","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","52322","Periodontics (PERIODON) Open Sections"," 788","101","Patient Mgt Perio","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  35","  35","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52321","Periodontics (PERIODON) Open Sections"," 789","101","Patient&Prac Mgt","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  30","  30","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","54477","Periodontics (PERIODON) Open Sections"," 790","027","Thesis Investigatn","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  25","  20","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","52340","Periodontics (PERIODON) Open Sections"," 790","101","Thesis Investigatn","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","52171","Periodontics (PERIODON) Open Sections"," 793","101","Current Lit-Perio","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  15","  15","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52323","Periodontics (PERIODON) Open Sections"," 794","101","Implants","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  20","  20","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","50084","Periodontics (PERIODON) Open Sections"," 795","101","Multisp Implnt Ther","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang, Chan","  12","  12","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52770","Periodontics (PERIODON) Open Sections"," 980","101","Perio Clinic","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Wang","  25","  20","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Dentistry","52769","Periodontics (PERIODON) Open Sections"," 982","101","Sem in Perio","SEM","P  ","M","","","","","","","05/06/2025","06/20/2025","9-12PM","ARR","Wang, Chan","  25","  20","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Dentistry","54344","Prosthodontics (PROSTHOD) Open Sections"," 583","003","Independent Study","IND","   ","M","","","","","","","05/06/2025","06/20/2025","8-9AM","ARR","Saglik","  25","  21","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","54344","Prosthodontics (PROSTHOD) Open Sections"," 583","003","Independent Study","IND","   ","","","W","","","","","05/06/2025","06/20/2025","10-11AM","ARR","","  25","  21","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","50085","Prosthodontics (PROSTHOD) Open Sections"," 643","101","Clin Prosthodontics","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Liu, Saglik","  25","  21","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Dentistry","54345","Prosthodontics (PROSTHOD) Open Sections"," 645","003","Thesis Investigatn","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Saglik","  25","  21","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Dentistry","52525","Prosthodontics (PROSTHOD) Open Sections"," 650","101","Adv Tx Planning","LEC","P  ","","","W","","","","","05/06/2025","06/20/2025","11-12PM","ARR","Liu, Saglik","  25","  21","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","52524","Prosthodontics (PROSTHOD) Open Sections"," 800","101","Teaching Pract","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Liu, Saglik","  25","  21","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","52339","Restorative (RESTORA) Open Sections"," 565","101","Implant Seminars","LEC","PD ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Neiva, Fasbinder","  25","  25","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry","52701","Restorative (RESTORA) Open Sections"," 729","101","Remov Complete Dent","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Kane, Valcanaia","  25","  25","N","2.00",
"Spring 2025","Regular Academic Session","Dentistry","51741","Restorative (RESTORA) Open Sections"," 741","101","Data Management","LAB","P  ","","T","","","","","","05/06/2025","06/20/2025","8-10AM","ARR","Dennison","  12","  12","N","1.00-2.00",
"Spring 2025","Regular Academic Session","Dentistry","50086","Restorative (RESTORA) Open Sections"," 742","101","Clin Restor Dent","LAB","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Neiva","  25","  23","N","1.00-8.00",
"Spring 2025","Regular Academic Session","Dentistry","54475","Restorative (RESTORA) Open Sections"," 743","004","Thesis Investigatn","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Neiva","  25","  23","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Dentistry (Dental Hygiene)","50052","Dental Hygiene (DENTHYG) Open Sections"," 313","101","DH Clinic Theory IV","SEM","P R","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  25","  25","N","2.00",
"Spring 2025","Regular Academic Session","Dentistry (Dental Hygiene)","50054","Dental Hygiene (DENTHYG) Open Sections"," 444","102","Comm Prac:Hd Start","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","  20","  20","N","1.00",
"Spring 2025","Regular Academic Session","Dentistry (Dental Hygiene)","50053","Dental Hygiene (DENTHYG) Open Sections"," 444","101","Comm Prac:Hd Start","REC","S  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Schmerl"," "," "," ","1.00",
"Spring 2025","Regular Academic Session","Dentistry (Dental Hygiene)","50055","Dental Hygiene (DENTHYG) Open Sections"," 445","101","Research II","LEC","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","","   5","   5","N","2.00-4.00",
"Spring 2025","Regular Academic Session","Dentistry (Dental Hygiene)","50056","Dental Hygiene (DENTHYG) Open Sections"," 450","101","Service Learning","SEM","P  ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Schmerl","  36","  36","N","2.00",
"Spring 2025","Regular Academic Session","Engineering","51959","Aerospace Engineering (AEROSP) Open Sections"," 290","006","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Bernal","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","53351","Aerospace Engineering (AEROSP) Open Sections"," 290","066","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cutler","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","51946","Aerospace Engineering (AEROSP) Open Sections"," 390","002","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cesnik","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","52179","Aerospace Engineering (AEROSP) Open Sections"," 390","066","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cutler","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","50832","Aerospace Engineering (AEROSP) Open Sections"," 490","002","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cesnik","  10","  10","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","51736","Aerospace Engineering (AEROSP) Open Sections"," 490","007","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Girard","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","50841","Aerospace Engineering (AEROSP) Open Sections"," 490","016","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Powell","   5","   5","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","50760","Aerospace Engineering (AEROSP) Open Sections"," 490","025","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Washabaugh","   5","   5","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","50907","Aerospace Engineering (AEROSP) Open Sections"," 490","045","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Bernstein","   5","   5","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","50553","Aerospace Engineering (AEROSP) Open Sections"," 490","048","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Gallimore","   5","   5","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","52124","Aerospace Engineering (AEROSP) Open Sections"," 490","066","Directed Study","IND"," I ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cutler","  25","  25","N","1.00-3.00",
"Spring 2025","Regular Academic Session","Engineering","51058","Aerospace Engineering (AEROSP) Open Sections"," 590","002","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cesnik","  25","  25","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50839","Aerospace Engineering (AEROSP) Open Sections"," 590","006","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Bernal","   5","   5","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50557","Aerospace Engineering (AEROSP) Open Sections"," 590","012","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Boyd","   5","   5","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50555","Aerospace Engineering (AEROSP) Open Sections"," 590","016","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Powell","   5","   5","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50915","Aerospace Engineering (AEROSP) Open Sections"," 590","022","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Roe","  25","  25","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50914","Aerospace Engineering (AEROSP) Open Sections"," 590","023","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Gilchrist","  25","  25","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50556","Aerospace Engineering (AEROSP) Open Sections"," 590","025","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Washabaugh","   5","   5","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","51949","Aerospace Engineering (AEROSP) Open Sections"," 590","036","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Driscoll","  25","  25","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","50554","Aerospace Engineering (AEROSP) Open Sections"," 590","048","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Gallimore","   5","   5","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","51171","Aerospace Engineering (AEROSP) Open Sections"," 590","060","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Atkins","  25","  25","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","52130","Aerospace Engineering (AEROSP) Open Sections"," 590","069","Directed Study","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Smith","  25","  25","N","1.00-6.00",
"Spring 2025","Regular Academic Session","Engineering","51059","Aerospace Engineering (AEROSP) Open Sections"," 990","002","Diss-Precand","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cesnik","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52308","Aerospace Engineering (AEROSP) Open Sections"," 990","072","Diss-Precand","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Panagou","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51057","Aerospace Engineering (AEROSP) Open Sections"," 995","002","Diss-Cand","IND","  R","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cesnik","  25","  25","N","4.00",
"Spring 2025","Regular Academic Session","Engineering","50906","Biomedical Engineering (BIOMEDE) Open Sections"," 490","009","Directed Research","IND"," D ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Goldstein","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","50930","Biomedical Engineering (BIOMEDE) Open Sections"," 490","018","Directed Research","IND"," D ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Faulkner","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52226","Biomedical Engineering (BIOMEDE) Open Sections"," 490","040","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Carson","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52964","Biomedical Engineering (BIOMEDE) Open Sections"," 490","054","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Zernicke","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51043","Biomedical Engineering (BIOMEDE) Open Sections"," 490","068","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Kohn","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","50939","Biomedical Engineering (BIOMEDE) Open Sections"," 490","069","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Grotberg","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","50857","Biomedical Engineering (BIOMEDE) Open Sections"," 490","105","Directed Research","IND"," D ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Takayama","   1","   1","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51347","Biomedical Engineering (BIOMEDE) Open Sections"," 490","116","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Martin","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51649","Biomedical Engineering (BIOMEDE) Open Sections"," 490","124","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Kopelman","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51167","Biomedical Engineering (BIOMEDE) Open Sections"," 490","133","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Cook","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51358","Biomedical Engineering (BIOMEDE) Open Sections"," 490","134","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Mayer","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52175","Biomedical Engineering (BIOMEDE) Open Sections"," 490","182","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Sept","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52180","Biomedical Engineering (BIOMEDE) Open Sections"," 490","189","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Chestek","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52543","Biomedical Engineering (BIOMEDE) Open Sections"," 490","193","Directed Research","IND"," D ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Coleman","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52683","Biomedical Engineering (BIOMEDE) Open Sections"," 490","220","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Mehta","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52569","Biomedical Engineering (BIOMEDE) Open Sections"," 490","224","Directed Research","IND"," D ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Figueroa","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52521","Biomedical Engineering (BIOMEDE) Open Sections"," 490","230","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Arnold","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","53357","Biomedical Engineering (BIOMEDE) Open Sections"," 490","233","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Krishnan","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52820","Biomedical Engineering (BIOMEDE) Open Sections"," 490","238","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Chandrasekaran","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","52832","Biomedical Engineering (BIOMEDE) Open Sections"," 490","262","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Fabiilli","  25","  25","N","1.00-4.00",
"Spring 2025","Regular Academic Session","Engineering","51168","Biomedical Engineering (BIOMEDE) Open Sections"," 590","010","Directed Research","IND","   ","","","","","","","","05/06/2025","06/20/2025","ARR","ARR","Kipke","  25","  25","N","1.00-16.00",
